TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1486086607,"North Station","179","Newburyport",1486087800,0,,"On Time"
1486086607,"North Station","225","Haverhill",1486088400,0,,"On Time"
1486086607,"North Station","343","Lowell",1486089900,0,,"On Time"
1486086607,"North Station","127","Rockport",1486092000,0,,"On Time"
1486086607,"North Station","431","Wachusett",1486093200,0,,"On Time"
1486086607,"North Station","181","Newburyport",1486093800,0,,"On Time"
1486086607,"North Station","345","Lowell",1486094100,0,,"On Time"
1486086607,"North Station","227","Haverhill",1486094400,0,,"On Time"
1486086607,"South Station","627","Needham Heights",1486086600,0,"5","All Aboard"
1486086607,"South Station","785","Readville",1486087200,0,"11","Now Boarding"
1486086607,"South Station","727","Forge Park / 495",1486087200,0,"4","Now Boarding"
1486086607,"South Station","055","Kingston",1486089000,0,,"On Time"
1486086607,"South Station","535","Worcester / Union Station",1486089300,0,,"On Time"
1486086607,"South Station","925","Stoughton",1486089600,0,,"On Time"
1486086607,"South Station","629","Needham Heights",1486090200,0,,"On Time"
1486086607,"South Station","835","Wickford Junction",1486090800,0,,"On Time"
1486086607,"South Station","787","Readville",1486090800,0,,"On Time"
1486086607,"South Station","093","Greenbush",1486090800,0,,"On Time"
1486086607,"South Station","029","Middleboro/Lakeville",1486092600,0,,"On Time"
1486086607,"South Station","729","Forge Park / 495",1486092600,0,,"On Time"
1486086607,"South Station","537","Worcester / Union Station",1486092600,0,,"On Time"
1486086607,"South Station","927","Stoughton",1486093200,0,,"On Time"
1486086607,"South Station","057","Kingston",1486093200,0,,"On Time"
1486086607,"South Station","789","Readville",1486094400,0,,"On Time"
1486086607,"South Station","837","Providence",1486094400,0,,"On Time"
1486086607,"South Station","631","Needham Heights",1486095600,0,,"On Time"
1486086607,"South Station","539","Worcester / Union Station",1486096200,0,,"On Time"
